"Rank","Player","Team","Positions","Yahoo","ESPN","CBS","AVG"
"110","Collin Sexton","UTH","PG,SG DTD","131","121","86","112.7"
"111","Daniel Gafford","WAS","C,PF OUT","100","99","145","114.7"
"112","Jalen Duren","DET","C DTD","93","134","118","115.0"
"113","Shaedon Sharpe","POR","SF,SG","123","111","111","115.0"
"114","P.J. Washington Jr.","CHA","PF","129","103","115","115.7"
"115","Jaden Ivey","DET","PG,SG OUT","145","112","94","117.0"
"116","Brandon Miller","CHA","SF,SG","133","109","112","118.0"
"117","Bennedict Mathurin","IND","SF,SG","124","135","98","119.0"
"118","Onyeka Okongwu","ATL","C,PF","104","125","132","120.3"
"119","Mike Conley","MIN","PG","127","118","116","120.3"
"120","Mitchell Robinson","NYK","C","98","137","131","122.0"
"121","Kevin Huerter","SAC","SG,SF","130","105","134","123.0"
"122","Ausar Thompson","DET","SF,SG","135","127","107","123.0"
"123","Amen Thompson","HOU","SF,SG OUT","156","124","91","123.7"
"124","Bojan Bogdanovic","DET","PF,SF,SG OUT","119","130","122","123.7"
"125","Zach Collins","SAS","PF,C","110","141","123","124.7"
"126","Christian Wood","LAL","PF,C","151","106","119","125.3"
"127","Malcolm Brogdon","POR","PG,SG","132","117","127","125.3"
"128","Josh Hart","NYK","SG,SF","125","120","135","126.7"
"129","Robert Williams III","POR","C OUT","92","128","162","127.3"
"130","Miles Bridges","CHA","SF,PF SUS","106","151","126","127.7"
"131","Ivica Zubac","LAC","C","120","131","133","128.0"
"132","Dennis Schroder","TOR","PG","138","129","120","129.0"
"133","Bruce Brown Jr.","IND","PG,SF,SG","118","139","142","133.0"
"134","Kevon Looney","GSW","PF,C","147","113","143","134.3"
"135","Al Horford","BOS","PF,C","128","147","139","138.0"
"136","Gary Trent Jr.","TOR","PG,SG","113","145","160","139.3"
"137","Immanuel Quickley","NYK","PG,SG","149","133","146","142.7"
"138","De'Anthony Melton","PHI","PG,SG","117","148","168","144.3"
"139","Jonathan Kuminga","GSW","PF DTD","148","136","151","145.0"
"140","Kelly Oubre Jr.","PHI","PF,SF","181","116","144","147.0"
